department,departmentName,division,gender,salary,overtimePay,longetivityPay,grade
ABS,Alcohol Beverage Services,Beer Loading,M,87969,32953.25,,20
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,80086,32656.04,1105.44,18
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,80086,31369.15,1591.2,18
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,70814,29837.85,,18
ABS,Alcohol Beverage Services,Flower Avenue,M,66446,274.7,1980.21,14
ABS,Alcohol Beverage Services,Director,F,210000,,,0
ABS,Alcohol Beverage Services,ABS 85 Director,M,220000,,,0
BOA,Board of Appeals Department,Board of Appeals Division,F,63587,,,16
BOA,Board of Appeals Department,Board of Appeals Division,F,80086,,740.16,18
BOA,Board of Appeals Department,Executive Director,F,146923,,,M3
BOE,Board of Elections,Information Technology Division,F,88077.41,4446.25,,21
BOE,Board of Elections,Registration Services,F,92211,229.28,5574.4,21
BOE,Board of Elections,Election Operations,F,101350,219.27,,23
BOE,Board of Elections,Voter Services,M,101350,219.27,,23
CAT,County Attorney's Office,Human Resources and Appeals,F,169856,,,M2
CAT,County Attorney's Office,Government Operations,M,169856,,,M2
CCL,County Council,Council Members and Staff,F,95597.78,,,26
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,169856,,,M2
CCL,County Council,Council Members and Staff,F,54364.67,,,16
CCL,County Council,Council Central Staff,F,128483,,,28
CCL,County Council,Council Central Staff,F,128483,,,28
CCL,County Council,Council Central Staff,M,128483,,,28
CCL,County Council,CCL 01 Council Central Staff,F,133980,,,M2
CCL,County Council,Council Membe
CEC,Community Engagement Cluster,CEC 16 Silver Spring Urban District,M,45639.34,1253.24,,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,52734,1246.58,,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,55223,1183,,10
CEC,Community Engagement Cluster,Silver Spring Urban District,F,41369.04,1097.6,,10
CEC,Community Engagement Cluster,Wheaton Urban District,M,45362.75,927.2,,9
CEC,Community Engagement Cluster,Gilchrist Center,F,57510.44,431.61,,16
CEC,Community Engagement Cluster,Silver Spring Urban District,F,55223,398.25,,10
CEC,Community Engagement Cluster,Wheaton Urban District,F,47471.22,342.35,,10
CEC,Community Engagement Cluster,Community Partnerships,F,39250,,,23
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,70000,,,18
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,70000,,,18
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,M,71050,,,18
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,73587.5,,,20
CEX,Offices of the County Executive,County Executive's Office,F,82981.14,,,22
CEX,Offices of the County Executive,Business Advancement Team,M,92000,,,25
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,92211,,,21
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,99328,63211.56,6002.1,C6
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,F,86850,60719.34,3018.08,C5
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,66477,59524.47,,C4
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,86850,59145.41,,C5
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,99328,59085.08,6002.1,C6
COR,Correction and Rehabilitation,DS MCDC Custody and Security,F,83913,57018.42,,C5
COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,M,75427,56685.85,,C6
COR,Correction and Rehabilitation,DS MCDC Inmate Property,M,81077,56266.12,,C5
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,57927,56153.39,,C4
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,81077,42390.09,,C5
FRS,Fire and Rescue Services,Station 19,M,71062,7421.51,,F3
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,F,120190,965.26,2901.12,C2
COR,Correction and Rehabilitation,DO Director,F,216000,,,0
CUS,Community Use of Public Facilities,Core Services Team,F,80086,1328.36,,18
CUS,Community Use of Public Facilities,Core Services Team,F,80086,951.8,2386.8,18
CUS,Community Use of Public Facilities,Core Services Team,F,90311.63,553.61,,21
CUS,Community Use of Public Facilities,Core Services Team,M,80086,227.44,,18
CUS,Community Use of Public Facilities,Core Services Team,F,68148.12,196.59,,18
CUS,Community Use of Public Facilities,Silver Spring Civic Building,M,66446,60.26,,14
CUS,Community Use of Public Facilities,Silver Spring Civic Building,M,54200.48,,,14
CUS,Community Use of Public Facilities,Community Use of Public Facilities,F,62855.44,,,16
CUS,Community Use of Public Facilities,Silver Spring Civic Building,M,68809.39,,,18
CUS,Community Use of Public Facilities,CUS 70 Finance and Administrative Support Team,F,72930,,2172.56,16
CUS,Community Use of Public Facilities,Finance and Administrative Support Team,F,72930,,,16
CUS,Community Use of Public Facilities,Core Services Team,F,77168.85,,,18
CUS,Community Use of Public Facilities,Core Services Team,F,80086,,,18
CUS,Community Use of Public Facilities,Silver Spring Civic Building,F,85679.06,,,21
CUS,Community Use of Public Facilities,Core Services Team,M,134209.87,,,M3
CUS,Community Use of Public Facilities,Finance and Administrative Support Team,F,145609.12,,,M3
CUS,Community Use of Public Facilities,Director,F,190042,,,M1
DEP,Department of Environmental Protection,Recycling and Refuse Services,M,92211,32147.69,,21
DEP,Department of Environmental Protection,Waste Reduction and Recycling,M,92211,31512.56,5574.4,21
DEP,Department of Environmental Protection,Resource Conversion,F,59286.43,30440.06,,13
DEP,Department of Environmental Protection,Resource Conversion,M,76419,29948.21,,17
DEP,Department of Environmental Protection,Resource Conversion,F,72930,13774.67,,16
DEP,Department of Environmental Protection,Recycling and Refuse Services,M,82991.48,13651.63,,21
DEP,Department of Environmental Protection,Recycling and Refuse Services,F,80086,9195.67,,18
DEP,Department of Environmental Protection,Recycling and Refuse Services,M,77140,7086.38,,21
DEP,Department of Environmental Protection,Recycling and Refuse Services,F,79014.01,6975.08,,18
DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,M,90540.06,6597.81,,23
DEP,Department of Environmental Protection,Recycling and Refuse Services,M,75617.5,6494.99,,21
DEP,Department of Environmental Protection,Design and Construction,M,80365.16,6491.23,,23
